Departamento,Lat,Lon
Amazonas , -5.077253 , -78.050172
Ancash , -9.407125 , -77.67179499999997
Apurimac , -14.027713 , -72.975378
Arequipa , -15.843523999999999 , -72.475539
Ayacucho , -14.091648000000001 , -74.08344
Cajamarca , -6.4302839999999994 , -78.74559599999998
Callao , -11.954609 , -77.136042
Cusco , -13.191068 , -72.153609
Huancavelica , -13.023888000000001 , -75.00277
Huanuco , -9.421676 , -76.040642
Ica , -14.235097 , -75.574821
Junin , -11.541783 , -74.876968
La Libertad , -7.92139 , -78.370238
Lambayeque , -6.3530489999999995 , -79.824113
Lima , -11.766533 , -76.60449799999998
Loreto , -4.124847 , -74.424115
Madre de Dios , -11.972699 , -70.53171999999998
Moquegua , -16.860271 , -70.839046
Pasco , -10.39655 , -75.307635
Piura , -5.133361 , -80.335861
Puno , -14.995826999999998 , -69.922726
San Martin , -7.039531 , -76.729127
Tacna , -17.644160999999997 , -70.27756
Tumbes , -3.857496 , -80.54525500000003
Ucayali , -9.621718 , -73.444929

